,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,1.7202445977400536,0.5052434206008911,1.3987223480319801,0.5468319654464722
1,0.789123110126275,0.7521657347679138,0.7457604971049088,0.7768595218658447
2,0.5538956557788218,0.8218754529953003,0.3822082657189596,0.8746556639671326
3,0.435198750654336,0.8624550104141235,0.4319605058291074,0.8599632978439331
4,0.3709982917909481,0.880743682384491,0.3822518319474455,0.8852158188819885
5,0.30754196762770075,0.9000962376594543,0.4368074152263857,0.8544536232948303
6,0.26712623615899217,0.9137241244316101,0.43331425664724693,0.8719007968902588
7,0.2464334560002681,0.9199554324150085,0.21837299748263306,0.9274563789367676
8,0.222320283768914,0.9270986318588257,0.2299173930844321,0.9279155135154724
9,0.19568319687146288,0.9350524544715881,0.1897658002197957,0.9380165338516235
10,0.18619371434611434,0.9383454322814941,0.2105213708014845,0.9348025918006897
11,0.17235724615559136,0.9427022933959961,0.27179603300384847,0.9123048782348633
12,0.15505297949224175,0.9484776258468628,0.23070434446812474,0.9210284948348999
13,0.14723927210730847,0.9520239233970642,0.13203640403718545,0.9623507857322693
14,0.15080152315550302,0.9497441649436951,0.11501591265108393,0.9669421315193176
15,0.1318939984588093,0.9575459957122803,0.16138459908190284,0.9531680345535278
16,0.13065723141766197,0.9579005837440491,0.12046912481207236,0.9618916511535645
17,0.12836964613138985,0.9566341042518616,0.19987414624878239,0.9380165338516235
18,0.11769545698864614,0.9593191146850586,0.20866584348035486,0.9380165338516235
19,0.11177758884471888,0.9627640843391418,0.9203734270463911,0.8287419676780701
20,0.10550415410444533,0.9646385312080383,0.11444931361181292,0.9646464586257935
21,0.10546577659061677,0.963371992111206,0.11472398672029845,0.9586777091026306
22,0.0986578564160987,0.9647398591041565,0.34950474778145696,0.9049586653709412
23,0.09903679568642054,0.9674248695373535,0.10191136164465246,0.9683195352554321
24,0.08970221638195597,0.9699579477310181,0.18708873863212894,0.947199285030365
25,0.0895265251033849,0.9709205031394958,0.1383165000225235,0.9563819766044617
26,0.08592629743810182,0.9713764786720276,0.09912684805957012,0.968778669834137
27,0.09132024359888387,0.9702619314193726,0.13619687249403742,0.9614325165748596
28,0.08403597894515871,0.9720350503921509,0.1354103390442065,0.9568411111831665
29,0.07872068562258798,0.973200261592865,0.07692910606880478,0.9761248826980591
30,0.07732821156879667,0.9746187925338745,0.06875332805846703,0.9756657481193542
31,0.07668834527113963,0.9744668006896973,0.07259673733167155,0.9775022864341736
32,0.07548051178048563,0.9745681285858154,0.34030815641459816,0.9095500707626343
33,0.06948807782819116,0.9773038029670715,0.08029742660047881,0.9733700752258301
34,0.06823246846568135,0.9775571227073669,0.0611526836338715,0.9834710955619812
35,0.07299474458691968,0.9762399196624756,0.06300356518894261,0.9802570939064026
36,0.06813619882530053,0.9772024750709534,0.0795301660363045,0.9747474789619446
37,0.06631501888909566,0.9767972230911255,0.049128327923708,0.9830119609832764
38,0.06850868775975898,0.9784690141677856,0.09303774738403107,0.9715335369110107
39,0.06738246431478816,0.9773038029670715,0.2442387421743584,0.9357208609580994
40,0.05435631872001963,0.9823192954063416,0.08246791325639076,0.9747474789619446
41,0.0684317614668516,0.9761892557144165,0.06425903841038307,0.9811753630638123
42,0.06101025879918671,0.9798368811607361,0.16860704888252728,0.9531680345535278
43,0.0642830117031912,0.9801915287971497,0.37108746557189726,0.9146005511283875
44,0.058388741543564784,0.9801915287971497,0.07275844209776156,0.9797979593276978
45,0.05896316550883059,0.9806474447250366,0.05119409681135585,0.9871441721916199
46,0.055229386255623764,0.980900764465332,0.06743342244876882,0.9802570939064026
47,0.054811003759297226,0.9825725555419922,0.07207817090152975,0.9770431518554688
48,0.048907453954293946,0.9830285310745239,0.058535023020533164,0.983930230140686
49,0.05522474746714516,0.9827245473861694,0.10850916665641283,0.9715335369110107
